112 168
88 43 47
36 89 74
82 69 14
39 93 110
66 102 58
51 75 12
85 104 109
48 18 37
68 47 111
37 70 90
49 56 107
96 52 91
5 50 83
99 39 105
2 68 27
101 107 31
81 25 92
48 59 63
7 97 92
56 89 94
68 53 57
35 55 72
32 73 29
64 39 87
97 44 94
16 101 43
77 62 111
14 51 95
64 98 77
22 97 46
34 93 109
15 80 91
22 34 75
102 110 47
30 32 49
21 67 99
1 70 40
7 9 95
75 77 79
3 13 23
36 73 61
50 84 106
84 61 63
0 25 71
24 99 103
71 90 106
29 80 53
0 8 33
7 17 110
10 34 54
12 41 96
5 27 105
11 82 93
20 46 87
49 67 90
21 57 59
10 19 76
20 55 74
4 80 104
17 55 79
82 100 94
40 42 69
26 70 91
17 42 107
23 28 76
76 108 78
4 67 86
35 54 66
8 14 20
2 61 86
9 36 62
43 45 100
21 96 78
22 40 88
1 57 81
5 32 38
56 64 65
26 28 38
65 72 88
38 59 100
31 46 58
16 74 109
2 52 60
12 102 89
41 42 85
6 84 103
66 69 98
23 53 106
0 73 78
1 19 83
9 45 54
11 31 62
16 18 98
3 30 52
19 24 60
27 37 108
11 50 72
18 24 29
28 86 92
13 35 44
60 71 79
15 25 105
4 33 83
44 85 111
6 58 108
13 51 101
41 45 87
10 15 63
65 95 104
6 30 81
3 33 48
8 26 103
